# Généré par tags2syn.py V1.0.3
# Date : 27/12/2025 19:47:33
# Nombre de lignes : 778
stdtag;canontag;frsynonyme
avaler;déglutition;avaler
avancement;mésialisation;avancement
avulsion;avulsion;avulsion
bagues;bagues;bagues
bascule;version;bascule
basculement;version;basculement
beance;béance;béance
bicuspide;prémolaire;bicuspide
bielle;bielles;bielle
bielles;bielles;bielles
bipro;bipro;bipro
biproalveolie;bipro;biproalvéolie
braces;bagues;braces
bracket;bagues;bracket
brackets;bagues;brackets
broches;bagues;broches
brossage;hygiène;brossage
bruxisme;bruxisme;bruxisme
bruxomanie;bruxisme;bruxomanie
canine;canine;canine
carie;caries dentaires;carie
cavite;béance;cavité
cbct;scanner;cbct
cephalo;céphalométrie;cephalo
cephalometrie;céphalométrie;céphalométrie
ceramic;céramique;ceramic
ceramique;céramique;céramique
chevauchement;crowding;chevauchement
chewing;mastication;chewing
chirurgie;chirurgie;chirurgie
cinquieme;prémolaire;cinquième
cleaning;hygiène;cleaning
clenching;bruxisme;clenching
clicking;claquement articulaire;clicking
composite;composite;composite
consultation;consultation;consultation
consulter;consultation;consulter
contention;contention;contention
controle;contrôle;contrôle
correction;alignement;correction
couple;torque;couple
croc;canine;croc
croissance;croissance;croissance
croquer;mastication;croquer
crossbite;occlusion croisée;crossbite
crowding;crowding;crowding
cuspide;canine;cuspide
ddm;ddm;ddm
debandage;débandage;débandage
dechaussement;maladie parodontale;déchaussement
deciduous;dentition temporaire;deciduous
dedentation;avulsion;dédentation
deglutition;déglutition;déglutition
delaire;classe iii d'angle;delaire
detartrage;détartrage;détartrage
developpement;croissance;développement
diastemata;diastemata;diastemata
diasteme;diastème;diastème
diastemes;diastemata;diastèmes
discrepance;ddm;discrepance
disjoncteur;quad helix;disjoncteur
disjonction;quad helix;disjonction
dislocation;luxation;dislocation
distalisation;distalisation;distalisation
distocclusion;classe ii d'angle;distocclusion
douleur;douleur;douleur
douzieme;molaire;douzième
dysharmonie;ddm;dysharmonie
dysmorphie;dysplasie;dysmorphie
dysmorphose;ddm;dysmorphose
dysplasie;dysplasie;dysplasie
ec;ectopie;ec
ecart;béance;écart
ecartement;béance;écartement
ecarteur;écarteur;écarteur
ectopie;ectopie;ectopie
edentation;édentation;édentation
edente;édentation;édenté
edentement;édentation;édentement
ef;ef;ef
egression;égression;égression
elastique;ligature;élastique
elocution;phonation;élocution
emergency;urgence;emergency
empreinte;empreinte;empreinte
encombrement;crowding;encombrement
endoalveolie;endoalvéolie;endoalvéolie
enfoncement;ingression;enfoncement
erp;quad helix;erp
eruption;égression;éruption
espace;diastème;espace
espacement;diastème;espacement
espacements;diastème;espacements
espaces;diastemata;espaces
esthetique;céramique;esthétique
eventail;plaque éventail;éventail
exodontie;avulsion;exodontie
expansion;quad helix;expansion
extraction;avulsion;extraction
extrusion;égression;extrusion
fil;arc;fil
forsus;bielles;forsus
gap;diastème;gap
gingivite;gingivite;gingivite
gingivitis;gingivite;gingivitis
gouttiere;gouttière;gouttière
grandir;croissance;grandir
grincement;bruxisme;grincement
grinding;bruxisme;grinding
growth;croissance;growth
hawley;contention;hawley
herbst;herbst;herbst
horizontal;supraposition;horizontal
hygiene;hygiène;hygiène
hyperdontie;dent surnuméraire;hyperdontie
hyperplasie;macrognathie;hyperplasie
hypodontie;agénésie;hypodontie
hypoplasie;classe iii d'angle;hypoplasie
impaction;inclusion;impaction
impression;empreinte;impression
imu;élastiques intermaxillaires;imu
incisive;incisive;incisive
inclinaison;version;inclinaison
inclusion;inclusion;inclusion
inconfort;douleur;inconfort
infraclusion;infraclusion;infraclusion
infraposition;infraposition;infraposition
ingression;ingression;ingression
intervention;chirurgie;intervention
intrusion;ingression;intrusion
invisalign;gouttière;invisalign
ipr;stripping;ipr
irritation;fil qui pique;irritation
laterodeviation;latérodéviation;latérodéviation
ligature;ligature;ligature
limage;stripping;limage
linguoversion;linguo-version;linguoversion
luxation;luxation;luxation
macher;mastication;mâcher
macrodontie;macrodontie;macrodontie
macrognathie;macrognathie;macrognathie
maintenance;contention;maintenance
maintien;contention;maintien
mal;douleur;mal
malformation;dysplasie;malformation
malocclusion;malocclusion;malocclusion
maloclusion;malocclusion;maloclusion
malposition;malposition;malposition
mastication;mastication;mastication
mastiquer;mastication;mastiquer
maturation;croissance;maturation
megalodontie;macrodontie;mégalodontie
mesialisation;mésialisation;mésialisation
mesiocclusion;classe iii d'angle;mésiocclusion
mesiodens;dent surnuméraire;mésiodens
metal;métal;métal
metallique;métal;métallique
meulage;stripping;meulage
microdontie;microdontie;microdontie
micrognathie;micrognathie;micrognathie
minivis;minivis;minivis
molaire;molaire;molaire
monitoring;contrôle;monitoring
monobloc;activateur;monobloc
moulage;empreinte;moulage
mouvement;translation;mouvement
nettoyage;hygiène;nettoyage
neutrocclusion;classe i d'angle;neutrocclusion
niti;niti;niti
nitinol;niti;nitinol
normocclusion;classe i d'angle;normocclusion
oligodontie;agénésie;oligodontie
onychophagie;onychophagie;onychophagie
openbite;béance;openbite
operation;chirurgie;opération
opg;panoramique;opg
orthopantomogramme;panoramique;orthopantomogramme
osa;apnée du sommeil;osa
osteoarthrite;arthrose;ostéoarthrite
osteotomie;ostéotomie;ostéotomie
overbite;supraclusion;overbite
overjet;supraposition;overjet
pacifier;succion;pacifier
pain;douleur;pain
panoramique;panoramique;panoramique
panorex;panoramique;panorex
papillon;plaque papillon;papillon
parler;phonation;parler
parodontite;maladie parodontale;parodontite
parodontopathie;maladie parodontale;parodontopathie
parole;phonation;parole
pendulum;pendulum;pendulum
phonation;phonation;phonation
popping;ressaut articulaire;popping
pouce;succion;pouce
powerscope;bielles;powerscope
premolaire;prémolaire;prémolaire
proalveolie;proalvéolie;proalvéolie
probleme;urgence;problème
procheilie;proalvéolie;prochéilie
proclusion;protrusion;proclusion
profil;céphalométrie;profil
proglissement;proglissement;proglissement
proinclinaison;proalvéolie;proinclinaison
prophylaxie;détartrage;prophylaxie
propulsor;propulsor;propulsor
protrusion;protrusion;protrusion
quadhelix;quad helix;quadhelix
