# Généré par tags2syn.py V1.0.3
# Date : 27/12/2025 19:47:33
# Nombre de lignes : 539
stdadj;canonadj;canontag;frsynadj
modere;modéré;classe iii d'angle;modéré
modere;modéré;classe iii squelettique;modéré
modere;modéré;endoalvéolie;modéré
modere;modéré;proalvéolie;modéré
modere;modéré;prognathisme mandibulaire;modéré
modere;modéré;prognathisme maxillaire;modéré
modere;modéré;rétroalvéolie;modéré
plaies;traumatique;chirurgie;plaies
prevue;programmé;avulsion;prévue
prevus;programmé;avulsion;prévus
rempli;encombré;classe i d'angle;rempli
severe;sévère;béance;sévère
severe;sévère;bruxisme;sévère
severe;sévère;classe ii d'angle;sévère
severe;sévère;classe iii d'angle;sévère
severe;sévère;classe iii squelettique;sévère
severe;sévère;endoalvéolie;sévère
severe;sévère;proalvéolie;sévère
severe;sévère;prognathisme mandibulaire;sévère
severe;sévère;prognathisme maxillaire;sévère
severe;sévère;rétroalvéolie;sévère
totale;total;avulsion;totale
totaux;total;avulsion;totaux
trauma;traumatique;chirurgie;trauma
ancre;fixe;contention;ancré
ancre;fixe;ligature;ancré
avant;antérieur;béance;avant
cotes;latéral;béance;côtés
div 1;division 1;classe ii d'angle;div 1
div 2;division 2;classe ii d'angle;div 2
doigt;digital;succion;doigt
droit;droit;béance;droit
droit;droit;latérodéviation;droit
droit;droit;malocclusion;droit
fixes;fixe;contention;fixes
fixes;fixe;ligature;fixes
grave;sévère;béance;grave
grave;sévère;bruxisme;grave
grave;sévère;classe ii d'angle;grave
grave;sévère;classe iii d'angle;grave
grave;sévère;classe iii squelettique;grave
grave;sévère;endoalvéolie;grave
grave;sévère;proalvéolie;grave
grave;sévère;prognathisme mandibulaire;grave
grave;sévère;prognathisme maxillaire;grave
grave;sévère;rétroalvéolie;grave
ideal;idéal;classe i squelettique;idéal
leger;modéré;béance;léger
leger;modéré;bruxisme;léger
leger;modéré;classe i squelettique;léger
leger;modéré;classe ii d'angle;léger
leger;modéré;classe iii d'angle;léger
leger;modéré;classe iii squelettique;léger
leger;modéré;endoalvéolie;léger
leger;modéré;proalvéolie;léger
leger;modéré;prognathisme mandibulaire;léger
leger;modéré;prognathisme maxillaire;léger
leger;modéré;rétroalvéolie;léger
matin;diurne;bruxisme;matin
plaie;traumatique;chirurgie;plaie
prevu;programmé;avulsion;prévu
total;total;avulsion;total
cote;latéral;béance;côté
div1;division 1;classe ii d'angle;div1
div2;division 2;classe ii d'angle;div2
face;antérieur;béance;face
fixe;fixe;contention;fixe
